,ecg1,ecg2,emg1
0,0,0.700918336,0.097348664
1,0,0.403657878,0.036969956
2,0,0.491038761,0.050523453
3,0,0.47270764,0.062077257
4,0,0.400494794,0.129115525
5,0,0.402852648,0.11850322
6,0,0.416801123,0.046619053
7,0,0.473164604,0.060380037
8,0,0.37470743,0.066255322
9,0,0.352462377,0.138981009
10,0,0.446892548,0.054131171
11,0,0.53740435,0.062192884
12,0,0.438641709,0.089050842
13,0,0.415668934,0.080542436
14,0,0.420402861,0.098725676
15,0,0.472007551,0.095326581
16,0,0.438770886,0.043388438
17,0,0.668639085,0.129549496
18,0,0.42683626,0.047714023
19,0,0.501285446,0.094293658
20,0,0.508727133,0.127985414
21,0,0.418633051,0.110199482
22,0,0.414160583,0.095461059
23,0,0.418669403,0.067099309
24,0,0.487542972,0.119382325
25,0,0.400564403,0.090682409
26,0,0.345101493,0.07730176
27,0,0.425224712,0.068564525
28,0,0.517376828,0.045241617
29,0,0.421896014,0.085624691
30,0,0.39107548,0.102969514
31,0,0.392387202,0.116188741
32,0,0.444369167,0.027045008
33,0,0.400896634,0.062137998
34,0,0.686733866,0.089846058
35,0,0.394897476,0.065024143
36,0,0.482930719,0.119312239
37,0,0.449829066,0.072396221
38,0,0.385868536,0.100704348
39,0,0.388448722,0.018434092
40,0,0.408918976,0.054627305
41,0,0.435234829,0.033415362
42,0,0.382000296,0.106877599
43,0,0.394012036,0.086811071
44,0,0.457427008,0.092850418
45,0,0.514017956,0.123668693
46,0,0.414361206,0.09525594
47,0,0.407054355,0.090941794
48,0,0.41367925,0.060196289
49,0,0.489856889,0.115322817
50,0,0.420382755,0.078249531
51,0,0.539467145,0.103512563
52,0,0.427257565,0.097234931
53,0,0.524094959,0.07658616
54,0,0.484923488,0.060921635
55,0,0.416947189,0.032814503
56,0,0.418123445,0.088533666
57,0,0.428303889,0.063393751
58,0,0.492982853,0.089185984
59,0,0.403949864,0.047419672
60,0,0.350109371,0.043550149
61,0,0.437499781,0.11028517
62,0,0.535381356,0.121003447
63,0,0.453512641,0.130163751
64,0,0.405510454,0.050739823
65,0,0.405513247,0.100001879
66,0,0.424536514,0.102851419
67,0,0.452833077,0.04050181
68,0,0.353662905,0.117838524
69,0,0.360516531,0.085173413
70,0,0.43271327,0.093715008
71,0,0.509856802,0.081105272
72,0,0.404031221,0.082677787
73,0,0.383801762,0.102889615
74,0,0.386287123,0.076246178
75,0,0.445201652,0.107835689
76,0.417383702,0.398194468,0.07000963
77,0.454362587,0.688071699,0.109440888
78,0.388239355,0.392853921,0.056734472
79,0.459649297,0.47604676,0.033823338
80,0.501557396,0.467395791,0.044841187
81,0.395474234,0.390042521,0.031118735
82,0.390820289,0.391315282,0.093915765
83,0.398862031,0.402379465,0.084225649
84,0.484925651,0.468585816,0.088069482
85,0.399433515,0.377298918,0.030269206
86,0.376071676,0.331968838,0.079854147
87,0.428494791,0.433209396,0.039523945
88,0.541286207,0.531193356,0.070380109
89,0.457865959,0.440014722,0.078218084
90,0.412221076,0.409492857,0.027009213
91,0.417511897,0.414803058,0.062936699
92,0.452063605,0.453870405,0.062070177
93,0.461383169,0.448435013,0.100793828
94,0.444410684,0.482276819,0.056619787
95,0.417193861,0.418521996,0.061112235
96,0.484759902,0.479802542,0.105631183
97,0.547072757,0.532937296,0.06216879
98,0.431580506,0.428247473,0.051820771
99,0.417884056,0.416333151,0.038907735
100,0.420841867,0.41906955,0.05469032
101,0.496660977,0.486896779,0.081273122
102,0.423661912,0.422759472,0.107308039
103,0.723195796,0.71812075,0.078971254
104,0.423651841,0.424779662,0.080781424
105,0.520632118,0.50926738,0.117916751
106,0.48219621,0.480373496,0.119866804
107,0.402079257,0.405758837,0.029407731
108,0.399827282,0.403150154,0.095272355
109,0.410748505,0.412168046,0.031643366
110,0.46390084,0.461193662,0.085849099
111,0.349381991,0.358571367,0.134217371
112,0.343915273,0.351869176,0.085396224
113,0.43178577,0.431344113,0.079599247
114,0.514120568,0.501687903,0.045440446
115,0.398053092,0.398245162,0.124515782
116,0.382177534,0.385650679,0.040698063
117,0.386238348,0.38977486,0.105516485
118,0.46649289,0.463443126,0.063889804
119,0.391109711,0.389976212,0.04426902
120,0.50283569,0.383774203,0.104223325
