,ecg1,ecg2,emg1
589,0.17514230055769897,0.10464144914328413,0.049667095995730964
590,0.13066809588438047,0.06846753546051153,0.10707341505885001
591,0.09439925025119446,0.047321638982694175,0.07179768170078155
592,0.06808653716841767,0.034937556428915884,0.10089501766591255
593,0.05064467627881389,0.010100771100615805,0.03716327859846456
594,0.036570066791523206,-0.03575624669368806,0.04458824584800658
595,0.01366500985004398,-0.09803039728056681,0.08514253268586933
596,-0.037240874644757734,-0.15895871915831514,0.0782202026976936
597,-0.11141871205887714,-0.1664990146021523,0.09208953901554179
598,-0.12513362631435754,0.026336748486989987,0.08158615082745373
599,0.041698538565902714,0.45830782028259504,0.07787163232150775
600,0.46100606408784806,0.9752372843421394,0.029638684870166097
601,0.9842832724600687,1.1724249754549292,0.052718394271952726
602,1.1842511089147234,0.847473867100031,0.055671647018516096
603,0.8754371421036932,0.28467269516643406,0.11201006463538231
604,0.3008837912103888,-0.13375944545925794,0.10365363921434362
605,-0.11534507002535427,-0.2715603726831862,0.09962189060905234
606,-0.25102272373974116,-0.20710495860356057,0.08663619991328445
607,-0.18096626864881615,-0.09481364547146932,0.10783065647353385
608,-0.06571807369859503,-0.020220439597577543,0.061821302016553614
609,0.004706532564918154,0.010516167971527612,0.07106778672607579
610,0.02843476412975054,0.022435596239578685,0.09118027469083012
611,0.03781120056799462,0.028839461239611903,0.05006857819667116
612,0.04575230083781934,0.037894472335520325,0.05947995094884501
613,0.05706773523867194,0.052754363639390886,0.059308739804486706
614,0.07232063945712845,0.07194629395249269,0.0671284107388643
615,0.09257907237274027,0.0957068966829252,0.02401712420521015
616,0.1184838135430412,0.1250391979753197,0.08772183818548965
617,0.1503217040648856,0.1599183357333016,0.08700595584032425
618,0.18813904292880212,0.19971428335426578,0.10732452388846656
619,0.2309736151994697,0.24320215747118473,0.10667206679915114
620,0.2769369971413197,0.2890114087392262,0.1121179104094219
621,0.32382437811065434,0.33416326562311477,0.12125708430380705
622,0.36911664478525574,0.3752160313345564,0.14353321509049483
623,0.40998038116439106,0.4092583064395155,0.06875002015181435
624,0.4432678685688008,0.43390898885820517,0.06583736548556535
625,0.46561514943406146,0.4473172738651053,0.09224356820390199
626,0.4749275464412302,0.44816228803579994,0.07436261581847924
627,0.4705689320529481,0.43542153460410543,0.0936909989482491
628,0.45277322536538755,0.40862656617091825,0.061208174854134004
629,0.422633710480972,0.371172726884787,0.10865608956902613
630,0.38210092412571456,0.326609136324574,0.06388118647190466
631,0.33398265564921553,0.2780615140378972,0.03752684563135128
632,0.28194331066339284,0.2282321795411474,0.060123346001651104
633,0.2294907921592685,0.1793998455140588,0.07371097740203966
634,0.17905089443448008,0.13341894514173702,0.06550812530016561
635,0.13271433583983744,0.09172027783737403,0.05746566950855339
636,0.09193066586526558,0.055311500970963885,0.04980876378712079
637,0.05751611955194281,0.024802059339870106,0.05490664322697461
638,0.029660165352215512,0.000427227358326376,0.08829310909344493
639,0.007912562945820633,-0.018306252217174274,0.07364290415678591
640,-0.00871113306551444,-0.03236441658130589,0.04991409182946972
641,-0.020933689964471574,-0.042624861316107925,0.04056817885243004
642,-0.029608823352807463,-0.04985854042188852,0.039123580673511446
643,-0.03552807032298782,-0.05472976631722613,0.0821496429263052
644,-0.03935259751449659,-0.057796209838970464,0.03490893136442686
645,-0.04161320111383422,-0.059508900242240634,0.1343264696299953
646,-0.04271040940254712,-0.060212323035512695,0.0661234513770736
647,-0.04294213226907492,-0.06017079876548522,0.11255510961248626
648,-0.042535524212987154,-0.05960418059381959,0.06420652842888877
649,-0.04160322329827354,-0.05863120929977812,0.05155379230464069
650,-0.04037062363012299,-0.057331429396784185,0.029523878233546037
651,-0.039042838849362105,-0.05587993037659095,0.10567085154699829
652,-0.03776518721206966,-0.05441387832724526,0.12464573638203266
653,-0.03662360697940717,-0.053015115449207395,0.09420238081421423
654,-0.03565066196775887,-0.05171270685332311,0.03635825373238304
655,-0.03482417070608186,-0.050482359222028914,0.08548783443116058
656,-0.03406227700438862,-0.04924432687901878,0.03905542953185401
657,-0.03319645383462275,-0.04784595646504533,0.09838343298084332
658,-0.03191636500212358,-0.046025973005073495,0.03509957026849993
659,-0.02990504868993008,-0.04345406279103349,0.03979345046669205
660,-0.026405946035505046,-0.0388339056198254,0.09875023027779223
661,-0.018857138153934156,-0.030345730557947852,0.049726322672502404
662,-0.005058045784160753,-0.016275266295213513,0.12266086889638159
663,0.016519983998831995,0.004984042987893055,0.11000848294056613
664,0.0467336777840251,0.03493103762021908,0.13300362287240305
665,0.08576795034777991,0.07466846798204377,0.1327639073562505
666,0.13312041780462863,0.12039608247576396,0.08774637794378046
667,0.18111068862264282,0.1660930537462522,0.029659070812289214
668,0.22061587470816918,0.20563323851977355,0.07655191381178168
669,0.2450698719012699,0.23280536003509772,0.051134253977466765
670,0.2504783220683102,0.24131683117939945,0.1105740306312059
671,0.23541861310197093,0.2270105798452455,0.06597438867795617
672,0.20118109599435297,0.1947052171239359,0.09166889638144567
673,0.15457997904201815,0.1511109266054854,0.03114016545058514
674,0.104823933358249,0.1025873521224742,0.06479437560821744
675,0.05874729015706756,0.05514620537416239,0.08395854130850793
676,0.020640879832637488,0.014449764060307624,0.08634908943972425
677,-0.007745105314106129,-0.014662768588968705,0.09573366683700951
678,-0.02694220545628441,-0.035302658772558185,0.04755886793165513
679,-0.04107138843130286,-0.054134208872143645,0.08354885759306044
680,-0.06318715395963398,-0.07845569807299121,0.06904241638524766
681,-0.10860104586352701,-0.11619938390941653,0.11871310277322665
682,-0.18497102952573102,-0.17593150226477072,0.06779766697043643
683,-0.2181656709923534,-0.24021714780473497,0.08993105257967944
684,-0.09268453208676336,-0.17751125739368562,0.11662744936231861
685,0.28836041211435787,0.10679850778014176,0.12037276255536333
686,0.8032525096468586,0.6120220194252425,0.10032906223215388
687,1.1036195098796429,1.0442481915847397,0.09592028047303573
688,0.8533172166155737,1.0117939409774708,0.10769884995532868
689,0.3027908194110774,0.5380747917505686,0.06795152752247414
690,-0.1625546135545951,-0.0010750929228864601,0.09714215639042446
691,-0.34506056013192826,-0.30064500122382193,0.11032719221735389
692,-0.3051256533219956,-0.32823608658222375,0.0829745874710909
693,-0.18644195160179594,-0.2220721093886953,0.10606245734219459
694,-0.10727866326746507,-0.12477747096534889,0.026262517576017066
