,ecg1,ecg2,ecg3,ecg4,emg1,emg2,emg3,emg4
0,0.2643349606058942,0.2643349606058942,0.31611718096653674,0.3565454966816347,0.09159996601580352,0.09159996601580352,0.09159996601580352,0.09159996601580352
1,0.2999765327164902,0.2999765327164902,0.3516911489579164,0.39182161828403184,0.08072337737950076,0.08072337737950076,0.08072337737950076,0.08072337737950076
2,0.403715193826814,0.403715193826814,0.455240813300131,0.4945034177943612,0.0778391458818184,0.0778391458818184,0.0778391458818184,0.0778391458818184
3,0.5707718611046622,0.5707718611046622,0.6220078145452868,0.6598710472673228,0.05811518188023781,0.05811518188023781,0.05811518188023781,0.05811518188023781
4,0.7963674517178337,0.7963674517178337,0.8472337932454925,0.8832046587576192,0.10753655102626145,0.10753655102626145,0.10753655102626145,0.10753655102626145
5,1.0757228828341288,1.0757228828341288,1.126160389952858,1.159784404319954,0.049720904376765726,0.049720904376765726,0.049720904376765726,0.049720904376765726
6,1.4040590716213448,1.4040590716213448,1.4540292452194905,1.4848904360090283,0.04762418385686325,0.04762418385686325,0.04762418385686325,0.04762418385686325
7,1.7765969352472792,1.7765969352472792,1.826081999597497,1.8538029058795424,0.08013204911578965,0.08013204911578965,0.08013204911578965,0.08013204911578965
8,2.188294119548966,2.188294119548966,2.237297022308222,2.261538694655435,0.12301554761934265,0.12301554761934265,0.12301554761934265,0.12301554761934265
9,2.631809892027735,2.631809892027735,2.6803543042373033,2.700816304724938,0.0810627035153073,0.0810627035153073,0.0810627035153073,0.0810627035153073
10,3.098617150509354,3.098617150509354,3.14674746659482,3.163167868800723,0.039836027411199786,0.039836027411199786,0.039836027411199786,0.039836027411199786
11,3.5801788997537196,3.5801788997537196,3.6279602375249778,3.6401156265295906,0.10051064389907483,0.10051064389907483,0.10051064389907483,0.10051064389907483
12,4.067958144520735,4.067958144520735,4.11547634517199,4.123181817558347,0.0801906672509198,0.0801906672509198,0.0801906672509198,0.0801906672509198
13,4.553417889570303,4.553417889570303,4.600779517680069,4.6038886815338,0.061169287009285304,0.061169287009285304,0.061169287009285304,0.061169287009285304
14,5.0280211396623224,5.0280211396623224,5.075353483193423,5.073758458102749,0.09306370620605663,0.09306370620605663,0.09306370620605663,0.09306370620605663
15,5.4830574673000445,5.4830574673000445,5.530508537599613,5.52413995465535,0.06570579186960719,0.06570579186960719,0.06570579186960719,0.06570579186960719
16,5.905793339762717,5.905793339762717,5.953531871562196,5.942358873357755,0.09138315620830324,0.09138315620830324,0.09138315620830324,0.09138315620830324
17,6.2794530474530275,6.2794530474530275,6.327668498868172,6.311698739499556,0.05134885894618824,0.05134885894618824,0.05134885894618824,0.05134885894618824
18,6.587083634159754,6.587083634159754,6.635986186690625,6.615265831756432,0.06266259707226536,0.06266259707226536,0.06266259707226536,0.06266259707226536
19,6.811732143671678,6.811732143671678,6.861552702202648,6.836166428804068,0.12402545184534598,0.12402545184534598,0.12402545184534598,0.12402545184534598
20,6.936445619777578,6.936445619777578,6.987435812577329,6.957506809318147,0.11637932961026574,0.11637932961026574,0.11637932961026574,0.11637932961026574
21,6.944271106266231,6.944271106266231,6.996703284987755,6.96239325197435,0.08692358659421101,0.08692358659421101,0.08692358659421101,0.08692358659421101
22,6.818335875609544,6.818335875609544,6.872503115290143,6.834012264131488,0.09521678901342669,0.09521678901342669,0.09521678901342669,0.09521678901342669
23,6.551741890437059,6.551741890437059,6.6079579894983445,6.565525043306005,0.0664542730130574,0.0664542730130574,0.0664542730130574,0.0664542730130574
24,6.157108749242368,6.157108749242368,6.215708229490259,6.169610422878396,0.1265867504872354,0.1265867504872354,0.1265867504872354,0.1265867504872354
25,5.649318915217366,5.649318915217366,5.710657021842096,5.661210100927462,0.04185003286292324,0.04185003286292324,0.04185003286292324,0.04185003286292324
26,5.043252960600201,5.043252960600201,5.107698551383694,5.055249002429737,0.061002735991255545,0.061002735991255545,0.061002735991255545,0.061002735991255545
27,4.353782394593702,4.353782394593702,4.421683859031505,4.366571661597381,0.0909553048977713,0.0909553048977713,0.0909553048977713,0.0909553048977713
28,3.5957760143937323,3.5957760143937323,3.667451075392146,3.609998556649612,0.10823672484843665,0.10823672484843665,0.10823672484843665,0.10823672484843665
